epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,253.219,0.77797,0.91148,0.47783,0.94047,0.99527,1,0.995,0.84441,0.99527,1,0.995,0.80212,0.66671,1.45781,0.40829,0.99721,0.0009209,0.0009209,0.0009209
111,255.512,0.75513,0.87278,0.49024,0.92124,0.99529,1,0.995,0.77863,0.99529,1,0.995,0.76934,0.7732,1.53312,0.44199,1.00877,0.000911,0.000911,0.000911
112,257.463,0.79175,0.78247,0.48558,0.93095,0.99519,1,0.995,0.8041,0.99519,1,0.995,0.76513,0.77663,1.6466,0.42819,0.99984,0.0009011,0.0009011,0.0009011
113,259.511,0.79968,0.91461,0.49704,0.94469,0.99508,1,0.995,0.87471,0.99508,1,0.995,0.77387,0.62138,1.66891,0.3777,0.97493,0.0008912,0.0008912,0.0008912
114,261.459,0.79184,0.88742,0.49944,0.95279,0.99514,1,0.995,0.85999,0.99514,1,0.995,0.68062,0.62244,1.72702,0.38437,0.96314,0.0008813,0.0008813,0.0008813
115,263.424,0.80654,1.00019,0.49313,0.97841,0.99526,1,0.995,0.84821,0.99526,1,0.995,0.71132,0.66698,1.74601,0.41008,0.97323,0.0008714,0.0008714,0.0008714
116,265.792,0.78741,0.92743,0.5044,0.96864,0.99488,1,0.995,0.84376,0.99488,1,0.995,0.71285,0.66838,1.8812,0.44617,0.96583,0.0008615,0.0008615,0.0008615
117,268.384,0.77609,0.91716,0.50226,0.93022,0.99466,1,0.995,0.85625,0.99466,1,0.995,0.71932,0.64291,1.93683,0.42924,0.95955,0.0008516,0.0008516,0.0008516
118,270.37,0.72928,0.89359,0.47249,0.93038,0.99481,1,0.995,0.85141,0.99481,1,0.995,0.78459,0.63089,1.67011,0.4412,0.96162,0.0008417,0.0008417,0.0008417
119,272.328,0.79061,0.97687,0.497,0.93922,0.99494,1,0.995,0.85028,0.99494,1,0.995,0.77226,0.66516,1.55977,0.44375,0.98244,0.0008318,0.0008318,0.0008318
